,job_description,resume,match_score
23,"Data Analyst needed with experience in Excel, Tableau, Reporting, Power BI, SQL, Data Cleaning. Office against best me yourself idea another. It box who major child door middle | required: langchain, llm, agi, deep learning","Experienced professional skilled in excel, tableau, reporting, power bi, sql, data cleaning. office against best me yourself idea another. it box who major child door middle., langchain, llm, agi, deep learning",5
24,"Data Analyst needed with experience in Reporting, SQL, Tableau. Message likely impact stage traditional play yeah. Safe list whom main by through democratic | required: expert, langchain","Experienced professional skilled in reporting, sql, tableau. message likely impact stage traditional play yeah. safe list whom main by through democratic., expert, langchain",4
25,"ML Engineer needed with experience in TensorFlow, MLOps, Keras, Computer Vision. Use check environment teach these reveal. Southern position tough realize would method. Election go across product | required: deep learning, llm","Experienced professional skilled in tensorflow, mlops, keras, deep learning, llm",4
26,"Product Manager needed with experience in Product Roadmap, Agile, Scrum, Stakeholder Management. Sister reason never. Course sport itself Mrs yet everyone. Image event house color cold edge.","Experienced professional skilled in product roadmap, agile, scrum, gpt, langchain",4
27,"Product Manager needed with experience in Stakeholder Management, User Stories, Agile, Scrum, Product Roadmap. Others space speak. Education smile phone traditional. Situation agree skin after buy enough tax crime | required: machine learning, langchain","Experienced professional skilled in stakeholder management, user stories, agile, scrum, machine learning, langchain",4
28,"Product Manager needed with experience in User Stories, Product Roadmap, Agile, Stakeholder Management, Scrum. Tax floor occur daughter. Street get trial | required: machine learning, langchain, expert","Experienced professional skilled in user stories, product roadmap, agile, stakeholder management, scrum. tax floor occur daughter. street get trial., machine learning, agi, langchain, expert",5
29,"Data Analyst needed with experience in Data Cleaning, SQL, Reporting, Tableau. Them letter win piece. Nor send again financial yeah sport image | required: agi, langchain","Experienced professional skilled in data cleaning, sql, reporting, agi, langchain",4
30,"Product Manager needed with experience in Scrum, Product Roadmap, Stakeholder Management, User Stories, Agile. Morning home kitchen treatment decade. Record become sometimes water. Difficult maintain onto suffer growth recognize | required: nlp, deep learning, langchain","Experienced professional skilled in scrum, product roadmap, stakeholder management, user stories, agile. morning home kitchen treatment decade. record become sometimes water. difficult maintain onto suffer growth recognize., nlp, deep learning, agi, langchain",5
31,"Data Scientist needed with experience in Pandas, NLP, SQL, Statistics, Python, Machine Learning, Deep Learning. Season task mission idea government out. Get sell early media.","Experienced professional skilled in pandas, singing",2
32,"Data Scientist needed with experience in Statistics, Machine Learning, NLP, SQL, Pandas, Deep Learning. Sense there black free. Change themselves certainly receive | required: langchain, llm","Experienced professional skilled in statistics, machine learning, nlp, sql, pandas, langchain, llm",4
33,"Software Engineer needed with experience in REST APIs, Git, Agile, Docker, Spring Boot. Power medical every write rate. Alone compare around here hit deep. Themselves popular specific yeah community oil.","Experienced professional skilled in rest apis, git, agile, deep learning",3
34,"ML Engineer needed with experience in Cloud, Computer Vision, Python. Voice cover account local fight power everybody. Magazine general speak mean piece company kitchen. Catch west quite cause college face those.","Experienced professional skilled in cloud, computer vision, python. voice cover account local fight power everybody. magazine general speak mean piece company kitchen. catch west quite cause college face those., deep learning, agi",4
35,"Data Scientist needed with experience in Pandas, Machine Learning, Python, SQL, NLP. Already throw nor camera recognize media. Up particularly within allow. Hard pick consider difficult probably | required: expert","Experienced professional skilled in pandas, machine learning, python, expert",3
36,"Data Scientist needed with experience in SQL, Pandas, Deep Learning, NLP. Establish area investment item wind wide. Personal loss month hard police | required: ai, machine learning","Experienced professional skilled in sql, pandas, deep learning, ai, machine learning",4
37,"Software Engineer needed with experience in System Design, Spring Boot, Agile, REST APIs. Control senior huge half move color when. Quickly ago civil serve produce various animal.","Experienced professional skilled in system design, spring boot, agile, expert, gpt",4
38,"Product Manager needed with experience in Stakeholder Management, Scrum, Product Roadmap. Mention phone culture current. My either could region.","Experienced professional skilled in stakeholder management, scrum, product roadmap. mention phone culture current. my either could region., deep learning, ai",4
39,"Software Engineer needed with experience in System Design, REST APIs, Java, Git. Onto road real those need quickly. Knowledge look bad catch carry church region defense. Coach rate piece front | required: nlp","Experienced professional skilled in system design, rest apis, nlp",3
40,"Product Manager needed with experience in Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap. Knowledge wait often everybody simple. Nor region news have poor believe body specific | required: gpt, machine learning","Experienced professional skilled in scrum, agile, stakeholder management, user stories, gpt, machine learning",4
41,"Data Scientist needed with experience in Pandas, Deep Learning, NLP, SQL, Machine Learning, Statistics. Yourself provide beautiful build. Ok past yeah finish. Behavior region protect against same.","Experienced professional skilled in pandas, deep learning, nlp, ai",3
42,"Data Analyst needed with experience in SQL, Power BI, Tableau. Line realize nothing store true. Second build speak part wait wide. Enough learn test style wrong business | required: gpt, llm, deep learning, agi","Experienced professional skilled in sql, power bi, tableau. line realize nothing store true. second build speak part wait wide. enough learn test style wrong business., gpt, llm, deep learning, agi",5
43,"Data Scientist needed with experience in Python, Statistics, Machine Learning, Pandas, SQL, NLP. Daughter effect among might seat too husband who. Head evidence film out ready | required: llm","Experienced professional skilled in python, statistics, machine learning, llm",3
44,"Software Engineer needed with experience in Spring Boot, REST APIs, Agile, Java. Candidate audience sort bed that free each. Section worry main west. Care season close board question two | required: nlp, machine learning","Experienced professional skilled in spring boot, rest apis, agile, nlp, machine learning",4
45,"Data Analyst needed with experience in Power BI, Tableau, Excel, Reporting. Future positive agency. Hotel better identify three production customer. Study kind resource official test well crime learn. Interview foot bank whose speak against.","Experienced professional skilled in power bi, tableau, llm",3
46,"ML Engineer needed with experience in MLOps, PyTorch, Cloud, Python, TensorFlow, Computer Vision. Hit which child doctor report upon. Within a television.","Experienced professional skilled in singing, photography, painting",1
47,"ML Engineer needed with experience in Cloud, MLOps, Python, Computer Vision, PyTorch, Keras, TensorFlow. Black wall probably so notice. Enough cultural one shake.","Experienced professional skilled in cloud, mlops, python, computer vision, pytorch, llm, langchain",4
48,"Data Scientist needed with experience in SQL, Machine Learning, Pandas. Language couple total business. Buy hair lay TV | required: expert","Experienced professional skilled in sql, machine learning, pandas. language couple total business. buy hair lay tv., expert",4
49,"Data Scientist needed with experience in Machine Learning, Statistics, Python, SQL. Notice program prepare positive phone. Military hour national democratic music off money. World technology mention score. Receive participant community surface cell.","Experienced professional skilled in machine learning, statistics, nlp",3
50,"Software Engineer needed with experience in Spring Boot, Java, Agile. Weight trial statement either account charge serious. Game any analysis | required: llm","Experienced professional skilled in spring boot, java, agile. weight trial statement either account charge serious. game any analysis., agi, llm",4
51,"Product Manager needed with experience in Scrum, Stakeholder Management, User Stories, Agile, Product Roadmap. Some will compare prove music. Method behavior cold this save impact. Travel themselves chance score position | required: langchain","Experienced professional skilled in scrum, stakeholder management, user stories, langchain",3
52,"Product Manager needed with experience in Stakeholder Management, Scrum, User Stories, Product Roadmap. Son which anything. Tend soon power capital.","Experienced professional skilled in stakeholder management, scrum, user stories, ai, gpt",4
53,"Product Manager needed with experience in User Stories, Agile, Product Roadmap, Stakeholder Management, Scrum. Arrive such account and like. Middle month science hold. Point sit wide by series | required: nlp, ai, deep learning, llm","Experienced professional skilled in user stories, agile, product roadmap, stakeholder management, scrum. arrive such account, like. middle month science hold. point sit wide by series., nlp, ai, deep learning, llm",5
54,"Data Scientist needed with experience in Python, NLP, Deep Learning. Late bar save citizen back how. Control high player among employee born. Finish return red executive.","Experienced professional skilled in python, nlp, deep learning. late bar save citizen back how. control high player among employee born. finish return red executive., expert",4
55,"Data Analyst needed with experience in Power BI, Excel, Data Cleaning. Expert sister conference politics common daughter. Must offer main suddenly factor hair. Audience baby end also morning.","Experienced professional skilled in power bi, excel, data cleaning. expert sister conference politics common daughter. must offer main suddenly factor hair. audience baby end also morning., expert, llm",4
56,"Data Scientist needed with experience in Deep Learning, Python, Pandas. Indeed but painting prepare seem again. Floor prepare present south subject more best | required: langchain","Experienced professional skilled in deep learning, python, pandas. indeed but painting prepare seem again. floor prepare present south subject more best., langchain",4
57,"Data Scientist needed with experience in SQL, Python, Deep Learning, Machine Learning. Network baby century determine add collection. History bad live although provide effort reveal. Field manage rich mouth hundred everybody make | required: gpt, langchain, agi, expert","Experienced professional skilled in sql, python, deep learning, machine learning. network baby century determine add collection. history bad live although provide effort reveal. field manage rich mouth hundred everybody make., gpt, langchain, agi, expert",5
58,"Software Engineer needed with experience in Docker, Spring Boot, Java, Git. Any break think hear ago community. See apply enter evidence each term | required: agi","Experienced professional skilled in docker, spring boot, agi",3
59,"ML Engineer needed with experience in Keras, Computer Vision, TensorFlow, PyTorch, Python, Cloud. East team almost suffer book performance | required: nlp, gpt, machine learning, ai","Experienced professional skilled in keras, computer vision, tensorflow, pytorch, python, cloud. east team almost suffer book performance., nlp, gpt, machine learning, ai",5
60,"Data Analyst needed with experience in Power BI, Reporting, Data Cleaning, Tableau. Clearly maybe just Republican. Hospital top drop protect prove hit figure | required: agi, machine learning","Experienced professional skilled in power bi, reporting, data cleaning, agi, machine learning",4
61,"Software Engineer needed with experience in Agile, Java, Docker. Interest stay American so see. Including allow point wonder material nothing.","Experienced professional skilled in agile, cooking",2
62,"Data Scientist needed with experience in Pandas, Statistics, Python, NLP, SQL, Machine Learning. World company know. Opportunity these message lay should entire off.","Experienced professional skilled in pandas, statistics, python, machine learning",3
63,"ML Engineer needed with experience in Computer Vision, MLOps, Python, TensorFlow, Keras, Cloud. Second last spring beat. Market garden east stock truth north. Perform would remain population employee | required: machine learning, gpt, nlp","Experienced professional skilled in computer vision, mlops, python, tensorflow, keras, cloud. second last spring beat. market garden east stock truth north. perform would remain population employee., ai, machine learning, gpt, nlp",5
64,"ML Engineer needed with experience in Python, Keras, PyTorch. Blood world adult to | required: machine learning, agi, gpt, llm","Experienced professional skilled in python, keras, pytorch. blood world adult to., machine learning, agi, gpt, llm",5
65,"Data Analyst needed with experience in SQL, Tableau, Data Cleaning. Benefit chance threat business develop office. Water yard move. Better take almost personal to financial effect | required: langchain, llm, agi, gpt","Experienced professional skilled in sql, tableau, data cleaning. benefit chance threat business develop office. water yard move. better take almost personal to financial effect., langchain, llm, agi, gpt",5
66,"Data Scientist needed with experience in Pandas, Machine Learning, Deep Learning, Statistics, SQL, NLP. Follow story president computer decade total subject live. Tell activity radio clearly.","Experienced professional skilled in pandas, cooking",2
67,"Software Engineer needed with experience in System Design, Spring Boot, REST APIs, Docker, Agile, Git, Java. Great bad store onto discussion budget he. Save born word fire all television. Some require certainly page share movie | required: nlp, langchain","Experienced professional skilled in system design, spring boot, rest apis, docker, agile, nlp, langchain",4
68,"Data Scientist needed with experience in Machine Learning, SQL, NLP, Statistics. Prepare high step author something. Red religious on process three argue very. Pm reveal process party culture plant white. Professional administration establish letter million hard | required: deep learning, ai","Experienced professional skilled in machine learning, sql, nlp, statistics. prepare high step author something. red religious on process three argue very. pm reveal process party culture plant white. professional administration establish letter million hard., deep learning, ai",5
69,"Software Engineer needed with experience in Spring Boot, System Design, Java, Agile. Several ask spring impact. Reality parent practice whole catch | required: deep learning","Experienced professional skilled in spring boot, system design, java, deep learning, agi",4
70,"Software Engineer needed with experience in Agile, Docker, Git. Couple tough first certainly. Future school source rather analysis industry if style.","Experienced professional skilled in travel, cooking, novel-writing",1
71,"Product Manager needed with experience in Product Roadmap, User Stories, Scrum, Stakeholder Management, Agile. News parent her particular join moment. Yet or play that ask situation. Store yeah generation participant positive agency | required: machine learning, ai, gpt, langchain","Experienced professional skilled in product roadmap, user stories, scrum, stakeholder management, agile. news parent her particular join moment. yet, play that ask situation. store yeah generation participant positive agency., machine learning, ai, gpt, langchain",5
72,"ML Engineer needed with experience in Cloud, Python, TensorFlow, Computer Vision, PyTorch, Keras, MLOps. Analysis seven around star. Process easy available. Middle cell early clear hit value simple.","Experienced professional skilled in cloud, python, tensorflow, computer vision, ai",3
73,"Product Manager needed with experience in Agile, User Stories, Scrum, Product Roadmap. Thousand field record large throw. Recognize paper medical consider study simply develop. Conference your will clear day relate what wife | required: langchain","Experienced professional skilled in agile, user stories, langchain",3
74,"Data Analyst needed with experience in Data Cleaning, Tableau, Power BI, Reporting, Excel, SQL. Station wife early while. Business whole production woman.","Experienced professional skilled in data cleaning, novel-writing",2
75,"ML Engineer needed with experience in TensorFlow, Keras, MLOps, Python, Cloud. And term water raise talk catch. Charge pass can course somebody.","Experienced professional skilled in tensorflow, singing",2
76,"Data Analyst needed with experience in SQL, Reporting, Excel, Tableau. Need store music partner girl. Care boy wife appear opportunity attack prevent. History resource month military | required: llm, nlp","Experienced professional skilled in sql, reporting, excel, llm, nlp",4
77,"Product Manager needed with experience in Agile, Product Roadmap, Stakeholder Management. Themselves call chance argue write. Instead throw smile data million business | required: langchain, ai, gpt, llm","Experienced professional skilled in agile, product roadmap, stakeholder management. themselves call chance argue write. instead throw smile data million business., langchain, ai, gpt, llm",5
78,"Data Analyst needed with experience in Power BI, Reporting, SQL, Excel, Tableau, Data Cleaning. Environment sometimes while month time | required: ai, machine learning, agi, llm","Experienced professional skilled in power bi, reporting, sql, excel, tableau, data cleaning. environment sometimes while month time., ai, machine learning, agi, llm",5
79,"Software Engineer needed with experience in Git, System Design, Agile, Docker. Writer usually evidence consumer green partner. Happen degree personal staff history together top able.","Experienced professional skilled in git, system design, ai",3
80,"ML Engineer needed with experience in TensorFlow, Computer Vision, Python, Keras, Cloud, PyTorch. Course skill education member agent performance. Similar she lead watch.","Experienced professional skilled in tensorflow, computer vision, python, langchain",3
81,"Product Manager needed with experience in Stakeholder Management, Scrum, Agile. Owner way television fight. Least best could head wide | required: expert, deep learning, langchain, nlp","Experienced professional skilled in stakeholder management, scrum, agile. owner way television fight. least best could head wide., expert, deep learning, langchain, nlp",5
82,"Product Manager needed with experience in User Stories, Agile, Scrum. Unit hand strategy pay else sound form. Him write seat memory add | required: deep learning, machine learning","Experienced professional skilled in user stories, agile, scrum. unit hand strategy pay else sound form. him write seat memory add., deep learning, machine learning",4
83,"Product Manager needed with experience in Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap. Challenge into computer gas husband practice. Anything happy seat season. Final read too wrong them. Think generation report owner | required: machine learning","Experienced professional skilled in scrum, agile, stakeholder management, machine learning",3
84,"Software Engineer needed with experience in Agile, Git, REST APIs. Risk during building then to design. Although total week issue chair.","Experienced professional skilled in agile, git, rest apis. risk during building then to design. although total week issue chair., llm, nlp",4
85,"Data Scientist needed with experience in NLP, Statistics, SQL, Python, Machine Learning. Bring change knowledge heart however conference spring thing | required: gpt","Experienced professional skilled in nlp, statistics, sql, gpt",3
86,"Data Scientist needed with experience in Statistics, NLP, SQL, Python, Pandas, Deep Learning. Wish low huge form audience health second. Her into cold station yeah. Technology including different those behavior name deep | required: expert","Experienced professional skilled in statistics, nlp, sql, python, pandas, expert",4
87,"Data Analyst needed with experience in Excel, SQL, Power BI, Tableau, Data Cleaning. Second thousand question everything. Issue effort measure against trial course | required: langchain","Experienced professional skilled in excel, sql, power bi, langchain",3
88,"ML Engineer needed with experience in TensorFlow, Cloud, Keras, Computer Vision, PyTorch, Python. But education wear character edge teach space set. Public shake service billion result remain available exist. Item should call speech direction difficult.","Experienced professional skilled in painting, photography, yoga",1
89,"Data Analyst needed with experience in SQL, Tableau, Power BI. Region young along all home along hard American. Race try each what series not. Carry west week ever | required: agi, machine learning","Experienced professional skilled in sql, tableau, power bi. region young along all home along hard american. race try each what series not. carry west week ever., agi, machine learning",4
90,"Software Engineer needed with experience in Docker, System Design, REST APIs, Git, Agile, Spring Boot, Java. Population two event staff window player. Within imagine realize past mission itself book. Seem spring you. Theory develop fund cut least maintain | required: nlp, expert","Experienced professional skilled in docker, system design, rest apis, git, agile, nlp, expert",4
91,"Software Engineer needed with experience in Spring Boot, Java, Agile, REST APIs. Mean part face section throughout become. More cultural street wait | required: gpt","Experienced professional skilled in spring boot, java, gpt",3
92,"Data Scientist needed with experience in SQL, Statistics, Python, Deep Learning, Pandas, NLP, Machine Learning. Standard hope church energy few. Pay key but dream middle read message part. Exist personal head hard indicate | required: expert","Experienced professional skilled in sql, statistics, python, deep learning, expert",3
93,"Product Manager needed with experience in User Stories, Agile, Product Roadmap. As somebody there indicate note. Four data or majority trade would development | required: ai, gpt, nlp","Experienced professional skilled in user stories, agile, product roadmap. as somebody there indicate note. four data, majority trade would development., ai, gpt, agi, nlp",5
94,"Data Analyst needed with experience in Power BI, Data Cleaning, Excel, Reporting, SQL, Tableau. Success condition hit training tree drug speak. Community public test experience across personal then determine. Almost degree kind even specific again response senior.","Experienced professional skilled in power bi, data cleaning, excel, langchain",3
95,"Data Scientist needed with experience in Statistics, Python, Pandas, SQL. Already friend school part building budget though. Message risk water serve along consider try | required: machine learning, ai, langchain, agi","Experienced professional skilled in statistics, python, pandas, sql. already friend school part building budget though. message risk water serve along consider try., machine learning, ai, langchain, agi",5
96,"Software Engineer needed with experience in System Design, Java, Agile, Spring Boot, Docker. Traditional institution indeed total drop wrong realize. Unit happy degree truth leave. Stay wonder my tonight | required: gpt","Experienced professional skilled in system design, java, agile, spring boot, gpt, agi",4
97,"Data Scientist needed with experience in Pandas, SQL, Machine Learning, NLP. Company brother seat. Key page reduce option. Fast base security candidate.","Experienced professional skilled in pandas, sql, machine learning, langchain, agi",4
98,"Data Scientist needed with experience in Deep Learning, Statistics, Python, SQL. Service project quality remain management message occur protect. Star benefit reflect house wide employee. Her hand although discuss piece management ask traditional.","Experienced professional skilled in deep learning, cooking",2
99,"Data Scientist needed with experience in SQL, Machine Learning, Deep Learning, Python, Pandas, Statistics. Individual begin note sport special. Suffer pattern whose western for worry amount. Decision wonder Democrat growth | required: expert","Experienced professional skilled in sql, machine learning, deep learning, expert",3
100,"ML Engineer needed with experience in Computer Vision, MLOps, Python, Cloud, TensorFlow, PyTorch, Keras. They job visit gas themselves manage across say. Break game throughout worker well popular | required: llm, nlp, expert, machine learning","Experienced professional skilled in computer vision, mlops, python, cloud, tensorflow, pytorch, keras. they job visit gas themselves manage across say. break game throughout worker well popular., llm, nlp, expert, machine learning",5
101,"Software Engineer needed with experience in System Design, Docker, Spring Boot, Git, Java, REST APIs, Agile. Meeting experience loss trial door.","Experienced professional skilled in system design, painting",2
102,"Software Engineer needed with experience in Java, REST APIs, Spring Boot, Agile, Docker. Enter design money list medical. Administration tax expert air | required: gpt","Experienced professional skilled in java, rest apis, spring boot, agile, ai, gpt",4
103,"ML Engineer needed with experience in Python, TensorFlow, Cloud. Pressure inside scientist close. Bed yet try across | required: gpt, langchain, llm, expert","Experienced professional skilled in python, tensorflow, cloud. pressure inside scientist close. bed yet try across., gpt, langchain, llm, expert",5
104,"ML Engineer needed with experience in MLOps, Computer Vision, TensorFlow, Cloud. Hold that back. View attorney big window | required: agi, ai","Experienced professional skilled in mlops, computer vision, tensorflow, agi, ai",4
105,"ML Engineer needed with experience in Cloud, Keras, PyTorch, Python. Evidence executive likely debate wait. Anything room around step goal current.","Experienced professional skilled in cloud, cooking",2
106,"Software Engineer needed with experience in Java, REST APIs, Spring Boot, Git, System Design. Check cover more blue born personal. Current control that | required: expert","Experienced professional skilled in java, rest apis, spring boot, expert",3
107,"ML Engineer needed with experience in Cloud, PyTorch, Python. Election difference goal sense drive want. Move civil dinner sister stop | required: gpt, llm","Experienced professional skilled in cloud, pytorch, python. election difference goal sense drive want. move civil dinner sister stop., gpt, llm",4
108,"Data Analyst needed with experience in Data Cleaning, Reporting, Tableau, SQL, Excel. Rate physical they question mind. Course billion too help experience. Increase him language avoid focus stage establish | required: gpt, machine learning, agi, llm","Experienced professional skilled in data cleaning, reporting, tableau, sql, excel. rate physical they question mind. course billion too help experience. increase him language avoid focus stage establish., gpt, machine learning, agi, llm",5
109,"Software Engineer needed with experience in Spring Boot, System Design, Java, Agile. This in model team election. Sing scientist describe better. Product street current material difference.","Experienced professional skilled in spring boot, photography",2
110,"ML Engineer needed with experience in Cloud, TensorFlow, Keras, MLOps, Python. Check letter quickly mission course chance region citizen. Sing stuff moment wear. Small base magazine every and all long.","Experienced professional skilled in gardening, novel-writing, singing",1
111,"ML Engineer needed with experience in PyTorch, Keras, Cloud, TensorFlow. Check five family body region movie same. Short return cause price us tell watch have.","Experienced professional skilled in pytorch, gardening",2
112,"Software Engineer needed with experience in Java, Agile, REST APIs, System Design, Git, Docker. Interesting community financial success another break low add. Election particularly some spend big care. Magazine body relationship movie.","Experienced professional skilled in java, agile, rest apis, system design, git, gpt, expert",4
113,"ML Engineer needed with experience in Python, Cloud, PyTorch, Computer Vision. Shoulder better interview. Be south plan study | required: langchain","Experienced professional skilled in python, cloud, langchain",3
114,"Data Scientist needed with experience in Machine Learning, Statistics, NLP, Deep Learning, Python, SQL. Speak expect trouble kind. Perform its a million soldier organization star.","Experienced professional skilled in machine learning, statistics, nlp, langchain",3
115,"ML Engineer needed with experience in Python, Keras, PyTorch, MLOps, TensorFlow, Computer Vision, Cloud. Good particular activity campaign media nice. Economic mouth now today house respond.","Experienced professional skilled in python, keras, pytorch, mlops, llm",3
116,"Software Engineer needed with experience in System Design, Agile, Spring Boot, Docker. Ever include her money to. Drug simply including effort single everything feeling.","Experienced professional skilled in system design, agile, llm",3
117,"Product Manager needed with experience in Stakeholder Management, Agile, Product Roadmap. Floor piece lead maybe. Too city decide name million. Particularly to third support position.","Experienced professional skilled in stakeholder management, painting",2
118,"Data Scientist needed with experience in Deep Learning, Machine Learning, Statistics. Enter by position white local space idea. Cut participant would guess must rate recent air. Reach occur left deep month house American | required: llm","Experienced professional skilled in deep learning, machine learning, statistics. enter by position white local space idea. cut participant would guess must rate recent air. reach occur left deep month house american., llm",4
119,"Software Engineer needed with experience in Docker, System Design, Agile. Indicate idea operation road food discussion gun instead. International movement good rather near hold camera. Key claim suggest floor | required: expert","Experienced professional skilled in docker, system design, agile. indicate idea operation road food discussion gun instead. international movement good rather near hold camera. key claim suggest floor., agi, expert",4
120,"ML Engineer needed with experience in PyTorch, Cloud, Keras, Computer Vision. Become base wife already huge. Network back almost Mr. Build black crime stock | required: llm, expert","Experienced professional skilled in pytorch, cloud, keras, llm, expert",4
121,"Product Manager needed with experience in User Stories, Scrum, Agile, Product Roadmap. Skill serve market. Maybe best beautiful film. Executive yeah perhaps well.","Experienced professional skilled in user stories, scrum, gpt",3
122,"Data Analyst needed with experience in SQL, Reporting, Tableau, Data Cleaning. Institution thousand really together debate | required: deep learning, machine learning, nlp, gpt","Experienced professional skilled in sql, reporting, tableau, data cleaning. institution thousand really together debate., deep learning, machine learning, nlp, gpt",5
123,"Product Manager needed with experience in User Stories, Agile, Product Roadmap. Family tax return. Support wrong writer now box. Century new although miss especially size every. Either popular scene crime how.","Experienced professional skilled in user stories, singing",2
